Scarab gitrev: 3541854
Scarab started at Mon Oct  7 07:30:02 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000006 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000012 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  15% -- { 3000019 } -- 83.33 KIPS (88.24 KIPS)
** Heartbeat:  20% -- { 4000025 } -- 111.11 KIPS (93.02 KIPS)
** Heartbeat:  25% -- { 5000028 } -- 125.00 KIPS (98.04 KIPS)
** Heartbeat:  30% -- { 6000028 } -- 142.86 KIPS (103.45 KIPS)
** Heartbeat:  35% -- { 7000031 } -- 125.00 KIPS (106.06 KIPS)
** Heartbeat:  40% -- { 8000037 } -- 125.00 KIPS (108.11 KIPS)
** Heartbeat:  45% -- { 9000037 } -- 125.00 KIPS (109.76 KIPS)
** Heartbeat:  50% -- { 10000038 } -- 111.11 KIPS (109.89 KIPS)
** Heartbeat:  55% -- { 11000042 } -- 166.67 KIPS (113.40 KIPS)
** Heartbeat:  60% -- { 12000050 } -- 200.00 KIPS (117.65 KIPS)
** Heartbeat:  65% -- { 13000050 } -- 200.00 KIPS (121.50 KIPS)
** Heartbeat:  70% -- { 14000057 } -- 200.00 KIPS (125.00 KIPS)
** Heartbeat:  75% -- { 15000062 } -- 200.00 KIPS (128.21 KIPS)
** Heartbeat:  80% -- { 16000063 } -- 200.00 KIPS (131.15 KIPS)
** Heartbeat:  85% -- { 17000064 } -- 200.00 KIPS (133.86 KIPS)
** Heartbeat:  90% -- { 18000065 } -- 250.00 KIPS (137.41 KIPS)
** Heartbeat:  95% -- { 19000067 } -- 250.00 KIPS (140.74 KIPS)
** Core 0 Finished:    insts:20000003    cycles:14929511    time:4665472187500       -- 1.34 IPC (1.34 IPC) --  N/A  KIPS (143.88 KIPS)
Scarab finished at Mon Oct  7 07:32:21 2024

