Scarab gitrev: 3541854
Scarab started at Mon Oct  7 07:29:12 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (100.00 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 111.11 KIPS (105.26 KIPS)
** Heartbeat:  15% -- { 3000001 } -- 83.33 KIPS (96.77 KIPS)
** Heartbeat:  20% -- { 4000001 } -- 90.91 KIPS (95.24 KIPS)
** Heartbeat:  25% -- { 5000001 } -- 83.33 KIPS (92.59 KIPS)
** Heartbeat:  30% -- { 6000001 } -- 100.00 KIPS (93.75 KIPS)
** Heartbeat:  35% -- { 7000002 } -- 100.00 KIPS (94.59 KIPS)
** Heartbeat:  40% -- { 8000002 } -- 125.00 KIPS (97.56 KIPS)
** Heartbeat:  45% -- { 9000003 } -- 90.91 KIPS (96.77 KIPS)
** Heartbeat:  50% -- { 10000003 } -- 111.11 KIPS (98.04 KIPS)
** Heartbeat:  55% -- { 11000004 } -- 100.00 KIPS (98.21 KIPS)
** Heartbeat:  60% -- { 12000005 } -- 166.67 KIPS (101.69 KIPS)
** Heartbeat:  65% -- { 13000005 } -- 166.67 KIPS (104.84 KIPS)
** Heartbeat:  70% -- { 14000005 } -- 200.00 KIPS (108.53 KIPS)
** Heartbeat:  75% -- { 15000005 } -- 166.67 KIPS (111.11 KIPS)
** Heartbeat:  80% -- { 16000005 } -- 200.00 KIPS (114.29 KIPS)
** Heartbeat:  85% -- { 17000005 } -- 200.00 KIPS (117.24 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 250.00 KIPS (120.81 KIPS)
** Heartbeat:  95% -- { 19000005 } -- 333.33 KIPS (125.00 KIPS)
** Core 0 Finished:    insts:20000001    cycles:21690751    time:6778359687500       -- 0.92 IPC (0.92 IPC) --  N/A  KIPS (128.21 KIPS)
Scarab finished at Mon Oct  7 07:31:48 2024

