Scarab gitrev: 3541854
Scarab started at Mon Oct  7 07:29:47 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000001 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:  10% -- { 2000001 } -- 111.11 KIPS (95.24 KIPS)
** Heartbeat:  15% -- { 3000001 } -- 76.92 KIPS (88.24 KIPS)
** Heartbeat:  20% -- { 4000001 } -- 100.00 KIPS (90.91 KIPS)
** Heartbeat:  25% -- { 5000001 } -- 111.11 KIPS (94.34 KIPS)
** Heartbeat:  30% -- { 6000001 } -- 166.67 KIPS (101.69 KIPS)
** Heartbeat:  35% -- { 7000002 } -- 125.00 KIPS (104.48 KIPS)
** Heartbeat:  40% -- { 8000002 } -- 142.86 KIPS (108.11 KIPS)
** Heartbeat:  45% -- { 9000003 } -- 111.11 KIPS (108.43 KIPS)
** Heartbeat:  50% -- { 10000003 } -- 90.91 KIPS (106.38 KIPS)
** Heartbeat:  55% -- { 11000004 } -- 166.67 KIPS (110.00 KIPS)
** Heartbeat:  60% -- { 12000005 } -- 166.67 KIPS (113.21 KIPS)
** Heartbeat:  65% -- { 13000005 } -- 200.00 KIPS (117.12 KIPS)
** Heartbeat:  70% -- { 14000005 } -- 250.00 KIPS (121.74 KIPS)
** Heartbeat:  75% -- { 15000005 } -- 250.00 KIPS (126.05 KIPS)
** Heartbeat:  80% -- { 16000005 } -- 250.00 KIPS (130.08 KIPS)
** Heartbeat:  85% -- { 17000005 } -- 200.00 KIPS (132.81 KIPS)
** Heartbeat:  90% -- { 18000005 } -- 333.33 KIPS (137.40 KIPS)
** Heartbeat:  95% -- { 19000005 } -- 250.00 KIPS (140.74 KIPS)
** Core 0 Finished:    insts:20000000    cycles:22989323    time:7184163437500       -- 0.87 IPC (0.87 IPC) --  N/A  KIPS (143.88 KIPS)
Scarab finished at Mon Oct  7 07:32:06 2024

